Date;risk
27-09-2015;58
04-10-2015;57
11-10-2015;58
18-10-2015;60
25-10-2015;61
01-11-2015;60
08-11-2015;59
15-11-2015;60
22-11-2015;43
29-11-2015;58
06-12-2015;58
13-12-2015;49
20-12-2015;34
27-12-2015;33
03-01-2016;44
10-01-2016;45
17-01-2016;50
24-01-2016;55
31-01-2016;57
07-02-2016;56
14-02-2016;56
21-02-2016;59
28-02-2016;59
06-03-2016;57
13-03-2016;54
20-03-2016;54
27-03-2016;56
03-04-2016;58
10-04-2016;61
17-04-2016;58
24-04-2016;57
01-05-2016;56
08-05-2016;53
15-05-2016;51
22-05-2016;48
29-05-2016;44
05-06-2016;47
12-06-2016;45
19-06-2016;46
26-06-2016;46
03-07-2016;41
10-07-2016;45
17-07-2016;45
24-07-2016;44
31-07-2016;44
07-08-2016;42
14-08-2016;41
21-08-2016;44
28-08-2016;46
04-09-2016;46
11-09-2016;51
18-09-2016;52
25-09-2016;55
02-10-2016;54
09-10-2016;54
16-10-2016;55
23-10-2016;57
30-10-2016;56
06-11-2016;52
13-11-2016;59
20-11-2016;42
27-11-2016;57
04-12-2016;59
11-12-2016;52
18-12-2016;37
25-12-2016;32
01-01-2017;40
08-01-2017;48
15-01-2017;49
22-01-2017;56
29-01-2017;58
05-02-2017;57
12-02-2017;58
19-02-2017;57
26-02-2017;60
05-03-2017;59
12-03-2017;56
19-03-2017;57
26-03-2017;59
02-04-2017;60
09-04-2017;58
16-04-2017;61
23-04-2017;63
30-04-2017;62
07-05-2017;57
14-05-2017;49
21-05-2017;47
28-05-2017;46
04-06-2017;47
11-06-2017;46
18-06-2017;47
25-06-2017;45
02-07-2017;41
09-07-2017;47
16-07-2017;46
23-07-2017;46
30-07-2017;45
06-08-2017;44
13-08-2017;43
20-08-2017;44
27-08-2017;46
03-09-2017;48
10-09-2017;54
17-09-2017;58
24-09-2017;57
01-10-2017;55
08-10-2017;58
15-10-2017;60
22-10-2017;58
29-10-2017;58
05-11-2017;61
12-11-2017;61
19-11-2017;43
26-11-2017;58
03-12-2017;61
10-12-2017;56
17-12-2017;42
24-12-2017;31
31-12-2017;39
07-01-2018;46
14-01-2018;48
21-01-2018;54
28-01-2018;54
04-02-2018;57
11-02-2018;55
18-02-2018;56
25-02-2018;59
04-03-2018;59
11-03-2018;54
18-03-2018;57
25-03-2018;55
01-04-2018;58
08-04-2018;61
15-04-2018;60
22-04-2018;59
29-04-2018;58
06-05-2018;54
13-05-2018;50
20-05-2018;48
27-05-2018;46
03-06-2018;49
10-06-2018;47
17-06-2018;47
24-06-2018;46
01-07-2018;40
08-07-2018;47
15-07-2018;48
22-07-2018;46
29-07-2018;46
05-08-2018;45
12-08-2018;46
19-08-2018;46
26-08-2018;46
02-09-2018;48
09-09-2018;56
16-09-2018;58
23-09-2018;58
30-09-2018;60
07-10-2018;58
14-10-2018;59
21-10-2018;57
28-10-2018;58
04-11-2018;59
11-11-2018;58
18-11-2018;43
25-11-2018;60
02-12-2018;60
09-12-2018;58
16-12-2018;47
23-12-2018;31
30-12-2018;36
06-01-2019;47
13-01-2019;52
20-01-2019;55
27-01-2019;56
03-02-2019;57
10-02-2019;58
17-02-2019;58
24-02-2019;59
03-03-2019;60
10-03-2019;57
17-03-2019;58
24-03-2019;68
31-03-2019;77
07-04-2019;73
14-04-2019;68
21-04-2019;64
28-04-2019;66
05-05-2019;59
12-05-2019;55
19-05-2019;52
26-05-2019;47
02-06-2019;51
09-06-2019;51
16-06-2019;52
23-06-2019;53
30-06-2019;44
07-07-2019;52
14-07-2019;50
21-07-2019;47
28-07-2019;45
04-08-2019;43
11-08-2019;47
18-08-2019;48
25-08-2019;50
01-09-2019;52
08-09-2019;57
15-09-2019;63
22-09-2019;66
29-09-2019;61
06-10-2019;61
13-10-2019;57
20-10-2019;60
27-10-2019;59
03-11-2019;61
10-11-2019;59
17-11-2019;60
24-11-2019;42
01-12-2019;60
08-12-2019;57
15-12-2019;51
22-12-2019;36
29-12-2019;39
05-01-2020;51
12-01-2020;55
19-01-2020;54
26-01-2020;59
02-02-2020;60
09-02-2020;62
16-02-2020;64
23-02-2020;69
01-03-2020;75
08-03-2020;92
15-03-2020;100
22-03-2020;85
29-03-2020;87
05-04-2020;80
12-04-2020;72
19-04-2020;72
26-04-2020;69
03-05-2020;67
10-05-2020;64
17-05-2020;59
24-05-2020;54
31-05-2020;55
07-06-2020;58
14-06-2020;61
21-06-2020;63
28-06-2020;61
05-07-2020;73
12-07-2020;70
19-07-2020;64
26-07-2020;64
02-08-2020;60
09-08-2020;74
16-08-2020;73
23-08-2020;70
30-08-2020;70
06-09-2020;70
13-09-2020;75
